epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
0,6.442150835057238,1.4127744470471062,5.985675546875,3.266,0.0015785760800819254
1,5.552200339223955,5.422321992371018,5.029033779296875,9.042,0.002134136380473925
2,4.988335066408544,9.925794217303443,4.7081516723632815,12.644,0.0030462701895983893
3,4.499628400719249,15.09147519410038,4.021493510742188,19.578,0.004294601268157339
4,4.076411421399016,20.27089364618352,3.872283759765625,23.172,0.005851243035776978
5,3.7258150785953017,25.156985779371464,3.43983962890625,28.598,0.007681421531837783
6,3.4275232116659207,29.60839609512265,3.123320947265625,33.77,0.009744252234112107
7,3.1728229398494,33.557920239906274,2.9059391186523436,37.42,0.011993653381787817
8,2.9718036439868953,36.842581802372365,2.69365556640625,40.694,0.014379375400072631
9,2.8042531962994928,39.69677645459179,2.4537405493164064,44.848,0.016848123429970288
10,2.664657081090487,42.186069419521424,2.306194248046875,47.604,0.019344747886934785
11,2.547273173198833,44.21882549269533,2.2435765771484375,48.22,0.021813476452405643
12,2.451140093469953,45.96684116902792,2.166799210205078,49.94,0.02419915997665443
13,2.3680865803798596,47.4187205883386,2.100041922607422,51.58,0.026448504460606637
14,2.292620641993476,48.835553834902086,2.031347998046875,52.756,0.028511261595285997
15,2.232426709645278,50.031728884680916,1.9126111981201173,54.938,0.0303413512633135
16,2.1738459896374414,51.075464791085004,1.9742706481933594,53.438,0.03189789092679894
17,2.126897314128342,52.01328164087898,1.8685913787841797,55.902,0.03314610890603625
18,2.082321755786042,52.85868274783849,1.8448414349365234,56.194,0.03405812114718754
19,2.0451633728884318,53.56756769414136,1.8578792401123048,56.154,0.03461355412667276
20,2.0095292591965284,54.25530005065694,1.7554338635253905,57.904,0.03479999999562787
21,1.9754080823251416,54.917586856358305,1.6984007165527344,58.954,0.03476422498104157
22,1.9472664794721803,55.43242996424354,1.7007136975097656,59.092,0.03465709692739493
23,1.919838450338457,55.99059295158242,1.6550256640625,60.154,0.034479056046839276
24,1.8939275084675609,56.54828761590019,1.6570170794677734,60.202,0.03423083394754244
25,1.8728222361394575,56.93566880820377,1.666445503540039,59.91,0.03391345062735394
26,1.8524291594545323,57.366135718450444,1.580826484375,61.536,0.03352821028241491
27,1.8306436021428008,57.77154734706717,1.6013342175292968,61.214,0.03307669594793651
28,1.8141814694537983,58.06760555025223,1.5805020593261718,61.528,0.03256076299316863
29,1.7955681438212627,58.44858632793383,1.6556519891357422,60.27,0.03198253149728969
30,1.7788542793347286,58.78289091117708,1.5336525762939452,62.56,0.03134437753754652
31,1.7600103041508814,59.117507709767736,1.5504705767822267,62.416,0.030648923425443293
32,1.7477746425391911,59.409116844252154,1.5069993872070313,63.054,0.02989902693110109
33,1.734519528425657,59.673016866653604,1.5108843914794923,62.984,0.02909776954006745
34,1.715894753407765,60.049080252613436,1.5207504180908202,62.936,0.028248443790831308
35,1.7035219825647927,60.27059704160347,1.4664490228271485,64.126,0.027354539745076074
36,1.688199929340736,60.58648091934931,1.5001861724853516,63.506,0.026419730646267573
37,1.674382729171873,60.86653808597942,1.4749592761230468,63.88,0.02544785782550873
38,1.660440046470482,61.11240767206773,1.4637203149414062,64.352,0.024442914916686112
39,1.6464277621749397,61.458732546186404,1.4510943121337891,64.448,0.023409031445771646
40,1.634485469289593,61.70686569354346,1.440393060913086,64.798,0.022350455861714632
41,1.6169067038522733,62.043511891892315,1.4046784802246093,65.568,0.021271538078653708
42,1.5993366662855748,62.43237610709611,1.3909500939941406,65.786,0.020176711601186614
43,1.587009400837905,62.71258938139993,1.3825101348876954,65.77,0.0190704753061488
44,1.5712514863981233,63.00271549298413,1.3570286822509765,66.454,0.017957374955763522
45,1.5574607591112177,63.33514678414289,1.4363462023925782,64.712,0.01684198451812979
46,1.5400394737303673,63.65188925409412,1.3904914978027343,65.636,0.015728887371806333
47,1.5206855422550147,64.05308597552076,1.3388911596679687,66.826,0.01462265747172599
48,1.5027151923079591,64.47161064872886,1.369544207763672,66.254,0.01352784055383376
49,1.488472916613092,64.78039162732102,1.2965995373535155,67.792,0.012448935455682748
50,1.4663918177981476,65.2334941502552,1.2932196398925782,67.826,0.011390375629745682
51,1.4472251909179288,65.62196809627473,1.2638654211425782,68.484,0.010356510925407701
52,1.4247328564003632,66.08966668670048,1.264710654296875,68.756,0.009351589714502222
53,1.4001855989852985,66.63869737512752,1.2457360205078125,69.064,0.008379741433839774
54,1.3763653405896434,67.14698396071707,1.2190569519042969,69.736,0.007444959616466399
55,1.3515414429711294,67.7372270750027,1.2096997827148437,69.77,0.006551085481379763
56,1.3244827479749293,68.29343871642027,1.162069150390625,71.024,0.005701792149136328
57,1.2959436399119717,68.91240564266798,1.1558092919921874,71.122,0.004900569548211137
58,1.2661162048161447,69.59022516190318,1.1429929333496094,71.406,0.0041507100741331035
59,1.2337186314009285,70.28404571769332,1.1040710992431642,72.092,0.0034552950603255594
60,1.1986761087721045,71.08456586846211,1.0946107861328125,72.446,0.0028171821162462983
61,1.167476196618347,71.77908890878395,1.0652561676025392,73.076,0.0022389933848573334
62,1.13363713138587,72.52684466583982,1.053104526977539,73.488,0.00172310476767704
63,1.1024219097999426,73.30098261975215,1.0355258728027343,73.716,0.0012716361616911737
64,1.0709428896853974,74.01314582720285,1.0210689923095704,74.218,0.0008864427482414434
65,1.0442525304072388,74.62415126209152,1.0077624307250976,74.514,0.0005691073696874358
66,1.0240313366159692,75.10043577457115,1.0025950421142578,74.654,0.0003209340251678611
67,1.0068341214131642,75.50935982584627,0.9982145867919922,74.742,0.00014294251218836416
68,0.9971859850249924,75.7327499069208,0.9960641510009766,74.89,3.586423605483705e-05
69,0.9933372446081855,75.81681388921194,0.9953510852050781,74.84,1.392043721288897e-07
